,lks
708,0.03858246157566706
709,0.03829696526130041
710,0.03937416523694992
711,0.03735601777831713
712,0.03936066354314486
713,0.03768851359685262
714,0.037786953151226044
715,0.03710184618830681
716,0.03981426109870275
717,0.03835517664750417
718,0.039023114989201226
719,0.04095374420285225
720,0.04037212456266085
721,0.04262050737937292
722,0.042028382420539856
723,0.038800593465566635
724,0.04079257200161616
725,0.041255676498015724
726,0.03913391505678495
727,0.042196170737346016
728,0.040248870849609375
729,0.04288533329963684
730,0.03921325380603472
731,0.03877567003170649
732,0.043165046721696854
733,0.04187941923737526
734,0.041138071566820145
735,0.04274918014804522
736,0.040919444213310875
737,0.04186501478155454
738,0.043112946053346
739,0.043687435487906136
740,0.04270674164096514
741,0.04245849698781967
742,0.043137092143297195
743,0.041104273249705635
744,0.04271810750166575
745,0.04326873148481051
746,0.04290373623371124
747,0.04347095141808192
748,0.04300274948279063
749,0.041525948792696
750,0.04019381726781527
751,0.04209094618757566
752,0.040549258391062416
753,0.039781944205363594
754,0.04221740737557411
755,0.040237098932266235
756,0.03989995767672857
757,0.040460785230000816
758,0.040441365291674934
759,0.04081237440307935
760,0.03895349303881327
761,0.03918717180689176
762,0.039769879231850304
763,0.04047348846991857
764,0.03912472849090894
765,0.03972437853614489
766,0.039309450735648475
767,0.03959936276078224
768,0.04028972238302231
769,0.03938594336311022
770,0.03857207794984182
771,0.0388542041182518
772,0.03931982691089312
773,0.0378858782351017
774,0.037242237478494644
775,0.03789625937740008
776,0.038536008447408676
777,0.037433656553427376
778,0.03782799964149793
779,0.035902698834737144
780,0.035844895988702774
781,0.03906984627246857
782,0.035967895140250526
783,0.035989715407292046
784,0.03917138402660688
785,0.03637252002954483
786,0.036706432700157166
787,0.03786498432358106
788,0.03653921807805697
789,0.0366767942905426
790,0.035964282850424446
791,0.036185372620821
792,0.03714925795793533
793,0.03670406589905421
794,0.03721310322483381
795,0.0375556064148744
796,0.037466906011104584
797,0.038473094503084816
798,0.038541484624147415
799,0.0389510045448939
800,0.03807449961702029
801,0.038656700402498245
802,0.03780225291848183
803,0.03924833362301191
804,0.03859235346317291
805,0.037886093060175575
806,0.039412898321946464
807,0.03856341044108073
808,0.038144207249085106
809,0.03893273572127024
810,0.039145449797312416
811,0.03883270174264908
812,0.03929120426376661
813,0.03985202436645826
814,0.039396354307730995
815,0.03954236085216204
816,0.03975749512513479
817,0.04052077109615008
818,0.04042121643821398
819,0.04151196777820587
820,0.04036298394203186
821,0.04186658561229706
822,0.042277960727612175
823,0.04174510017037392
824,0.04203350469470024
825,0.04273671656847
826,0.04176922390858332
827,0.04251149669289589
828,0.041865126540263496
829,0.041209918757279716
830,0.04197290043036143
831,0.041856578240791954
832,0.040710928539435066
833,0.040256707618633904
834,0.040417157113552094
835,0.03937556594610214
836,0.04010805984338125
837,0.039779748767614365
838,0.0401790551841259
839,0.04085998237133026
840,0.04169753938913345
841,0.04008365422487259
842,0.04056998218099276
843,0.04087596386671066
844,0.03971950833996137
845,0.040830510358015694
846,0.04074828947583834
847,0.039771199226379395
848,0.03967666501800219
849,0.0378390463689963
850,0.040484471867481865
851,0.039643545945485435
852,0.03914951905608177
853,0.04021180669466654
854,0.04263664782047272
855,0.03981049731373787
856,0.040567430357138314
857,0.040392896781365074
858,0.03912807131807009
